,name,price,ingPrice,profit,percentGained,ingredients
,Mushroom Salad,1400,700,700,100%,"1× Round Mushroom, 1× Flat Mushroom, 1× Skinny Mushroom"
,Champiñones al Ajillo,20040,16700,3340,20%,"1× Round Mushroom, 1× Flat Mushroom, 1× Skinny Mushroom, 1× Rare Mushroom"
,Carpaccio di Marlin Blu,12000,10000,2000,20%,1× Blue Marlin
,Barred-Knifejaw Carpaccio,6000,5000,1000,20%,1× Barred Knifejaw
,Seafood Ajillo,5640,4700,940,20%,"1× Tiger Prawn, 1× Squid, 1× Scallop"
,Seafood Pizza,4600,3830,770,20%,"3× Flour, 1× Tiger Prawn, 2× Manila Clam"
,Pesce All'acqua Pazza,4140,3450,690,20%,"1× Red Snapper, 1× Tomato, 1× Manila Clam"
,Carpaccio di Capesante,2880,2400,480,20%,2× Scallop
,Mushroom Pizza,2860,1430,1430,100%,"3× Flour, 2× Round Mushroom, 2× Flat Mushroom"
,Mushroom Curry,2660,1330,1330,100%,"3× Flour, 1× Round Mushroom, 1× Flat Mushroom, 1× Skinny Mushroom"
,Pumpkin Pie,2630,1750,880,50%,"3× Flour, 2× Sugar, 2× Orange Pumpkin"
,Tomato Curry,2520,1680,840,50%,"3× Flour, 3× Tomato"
,Savory Bread,2520,1680,840,50%,"3× Flour, 1× Carrot, 1× Tomato, 1× Potato"
,Pumpkin Curry,2520,1680,840,50%,"3× Flour, 3× Orange Pumpkin"
,Potato Curry,2520,1680,840,50%,"3× Flour, 3× Potato"
,Carrot-Tops Curry,2520,1680,840,50%,"3× Flour, 3× Carrot"
,Fruit Pizza,2500,2730,-230,-8%,"3× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Mixed-Fruits Pie	,2500,2730,-230,-8%,"3× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Seafood Salad,2280,1900,380,20%,"1× Squid, 1× Sweet Shrimp"
,Tomato Bagel Sandwich,2210,1470,740,50%,"2× Flour, 3× Tomato"
,Pumpkin Bagel Sandwich,2210,1470,740,50%,"2× Flour, 3× Orange Pumpkin"
,Potato Galette,2210,1470,740,50%,"2× Flour, 3× Potato"
,Gnocchi di Zucca,2210,1470,740,50%,"2× Flour, 3× Orange Pumpkin"
,Gnocchi di Patate,2210,1470,740,50%,"2× Flour, 3× Potato"
,Gnocchi di Carote,2210,1470,740,50%,"2× Flour, 3× Carrot"
,Carrot Bagel Sandwich,2210,1470,740,50%,"2× Whole-Wheat Flour, 3× Carrot"
,Veggie Cookies,2210,1470,740,50%,"1× Flour, 1× Sugar, 1× Tomato, 1× Carrot, 1× Orange Pumpkin"
,Veggie Cupcakes,2210,1470,740,50%,"1× Flour, 1× Sugar, 1× Tomato, 1× Carrot, 1× Potato"
,Spaghetti Napolitan,2210,1890,320,17%,"3× Flour, 1× Tomato Puree"
,Spaghetti Marinara,2210,1890,320,17%,"3× Flour, 1× Tomato Puree"
,Mixed-Fruits Sandwich	,2180,1520,660,43%,"2× Flour, 1× Orange,  1× Pear, 1× Peach"
,Mixed-Fruits Bagel Sandwich,2180,2520,-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
,Fruit Scones,2180,2520,-340,-13%,"2× Flour, 1× Apple, 1× Orange, 1× Pear, 1× Peach, 1× Cherry"
